N_Awal,P_Awal,K_Awal,N_Target,P_Target,K_Target,Dosis_Pupuk_Gram
16.5,22.9,48.0,28.8,36.6,78.3,0.9
15.4,22.5,46.3,28.0,38.9,71.7,0.9
16.9,22.7,45.8,25.2,43.1,81.2,0.9
15.1,22.9,45.9,25.4,38.5,77.5,0.9
18.2,23.1,44.1,25.9,39.3,80.9,1.0
15.9,22.5,48.1,29.5,37.9,85.4,1.0
17.4,21.1,41.9,26.8,38.2,80.4,1.0
15.9,22.2,47.9,28.1,42.1,85.7,1.0
16.8,22.1,46.2,25.9,40.2,82.7,1.0
15.4,22.7,46.8,25.0,39.7,83.5,1.0
16.1,23.2,46.4,28.2,41.4,79.2,1.0
14.3,23.8,45.6,27.9,41.5,84.3,1.0
15.6,22.3,45.0,29.4,43.4,78.0,1.0
16.5,21.4,45.5,31.3,39.3,80.4,1.0
15.8,21.1,46.6,29.2,40.4,81.8,1.0
17.0,21.3,48.7,31.4,41.1,82.8,1.0
18.2,23.4,47.0,29.0,44.3,79.9,1.0
16.5,20.6,44.5,29.1,40.5,85.7,1.0
17.6,20.6,46.3,28.5,41.6,81.9,1.0
16.8,21.7,48.0,26.0,42.5,81.8,1.0
16.9,21.9,47.4,30.3,42.2,81.7,1.0
16.7,21.3,47.0,31.2,43.2,79.9,1.0
16.1,22.3,44.3,29.4,37.3,78.6,1.0
15.6,23.6,48.6,29.3,41.5,81.5,1.0
16.0,22.5,47.2,28.0,39.8,83.6,1.0
15.9,22.5,46.1,25.9,43.7,82.3,1.0
16.8,23.5,44.6,26.1,44.0,82.2,1.0
14.2,22.5,45.2,29.4,40.5,84.7,1.0
15.6,22.5,44.8,29.4,42.0,80.0,1.0
16.0,21.6,43.7,30.0,40.3,73.4,1.0
16.7,22.0,46.8,26.9,41.2,86.1,1.0
14.6,22.2,46.4,28.0,39.6,78.6,1.0
16.9,21.3,47.3,28.6,40.2,79.3,1.0
15.8,23.6,46.9,27.2,39.5,77.7,1.0
16.0,21.8,48.1,30.2,42.1,78.8,1.0
18.2,22.2,47.2,26.9,42.8,84.8,1.0
14.5,23.3,43.3,32.2,39.8,77.5,1.0
16.8,22.8,48.0,28.2,41.9,82.7,1.0
17.2,23.5,46.8,27.3,39.7,79.8,1.0
17.9,23.3,48.8,30.5,38.7,87.1,1.0
17.1,21.5,47.3,26.2,40.0,79.9,1.0
15.3,21.7,48.0,30.8,42.4,83.0,1.0
14.3,21.5,49.0,29.9,40.9,80.9,1.0
15.1,22.8,47.5,26.8,41.4,85.1,1.0
17.4,22.4,47.3,28.8,46.8,77.1,1.0
14.5,23.2,46.6,29.4,39.6,82.8,1.0
16.5,21.7,45.1,29.7,43.1,83.2,1.0
16.4,21.7,47.9,30.5,43.9,81.4,1.0
16.0,22.8,47.1,29.7,44.9,79.5,1.0
17.1,21.7,48.2,28.4,39.3,84.8,1.0
16.9,21.7,46.2,30.5,41.3,82.3,1.0
17.8,22.3,45.8,25.5,42.8,77.4,1.0
13.8,23.9,46.6,27.8,40.4,86.4,1.0
15.4,21.4,47.8,26.9,38.9,87.1,1.0
15.3,23.7,47.7,29.7,39.6,83.8,1.1
16.3,21.4,46.8,29.9,42.2,88.5,1.1
16.8,22.5,44.7,32.3,39.5,82.1,1.1
15.4,21.0,46.5,30.8,46.1,83.8,1.1
15.7,21.5,47.4,30.8,42.5,83.2,1.1
16.9,24.0,44.1,30.5,38.4,87.9,1.1
18.1,23.3,45.8,27.1,41.2,84.7,1.1
18.0,22.3,48.5,27.6,44.0,80.3,1.1
16.0,23.0,46.2,30.2,41.2,81.6,1.1
14.2,23.1,44.7,28.3,41.2,83.4,1.1
15.0,21.9,49.1,27.4,38.1,77.8,1.1
16.5,22.5,44.3,28.4,41.9,84.4,1.1
15.3,22.3,44.7,31.3,45.1,78.1,1.1
17.5,22.8,47.7,29.9,40.1,89.7,1.1
16.4,23.5,46.3,30.8,40.4,80.7,1.1
16.3,24.6,44.0,26.8,39.9,82.9,1.1
15.9,23.1,47.0,29.9,44.5,90.0,1.1
13.8,23.3,46.3,29.4,41.3,84.5,1.1
15.9,24.6,44.9,28.8,45.6,81.1,1.1
16.5,21.3,45.3,28.3,41.2,85.7,1.1
16.8,20.8,47.7,28.2,41.4,84.4,1.1
17.4,23.1,48.1,29.5,44.3,84.5,1.1
17.2,23.2,44.2,29.9,41.3,90.0,1.1
15.7,22.7,48.5,27.2,42.1,83.6,1.1
15.5,22.2,45.5,30.2,39.2,82.8,1.1
15.8,19.7,49.2,28.4,39.0,82.8,1.1
15.2,24.3,49.0,30.8,40.8,83.2,1.1
15.0,22.2,46.3,29.4,43.6,83.7,1.1
16.3,22.6,44.5,28.5,41.1,82.9,1.1
14.2,23.7,48.2,28.1,38.9,86.1,1.1
16.3,21.6,45.4,28.7,36.3,82.1,1.1
14.7,22.3,45.8,31.4,42.8,80.4,1.1
18.3,23.4,46.1,29.9,40.4,84.7,1.1
15.7,22.6,46.2,28.9,40.8,86.7,1.1
16.3,23.1,45.3,28.4,38.8,84.1,1.1
14.6,23.0,46.8,31.0,39.8,88.3,1.1
14.1,23.1,42.4,28.0,42.4,87.0,1.1
15.2,22.4,49.2,27.7,44.8,81.4,1.1
18.2,22.5,44.3,26.4,39.4,87.7,1.1
15.5,22.5,45.9,32.3,44.7,85.2,1.1
15.3,24.0,46.6,29.6,44.4,85.8,1.1
16.3,22.1,43.8,30.2,44.4,79.8,1.1
16.3,23.2,46.3,29.7,46.5,77.6,1.1
15.6,20.4,47.9,29.0,38.9,83.9,1.1
17.4,22.8,47.5,30.6,41.6,83.9,1.1
16.5,21.3,46.6,28.7,44.1,84.1,1.1
15.3,24.7,48.1,27.9,40.2,80.7,1.1
15.0,21.9,44.8,32.0,39.1,83.4,1.1
16.9,24.9,43.9,31.0,40.7,86.4,1.1
17.3,22.9,45.8,31.0,43.8,80.2,1.1
16.3,23.4,44.9,28.3,40.6,90.4,1.2
15.9,22.6,46.3,28.4,44.2,80.2,1.2
17.1,21.6,45.7,29.3,42.8,86.3,1.2
16.7,20.6,46.2,31.4,43.8,80.1,1.2
17.1,21.1,45.2,32.4,40.1,81.7,1.2
17.1,23.0,46.5,30.5,40.7,83.5,1.2
16.8,22.1,45.9,29.1,42.7,83.9,1.2
15.2,22.9,46.4,28.1,41.9,81.8,1.2
16.9,23.0,44.9,30.7,41.1,85.5,1.2
14.3,22.8,49.4,29.8,42.7,84.3,1.2
16.6,23.8,44.2,29.0,40.5,85.3,1.2
16.7,23.6,47.4,30.7,43.2,83.8,1.2
16.4,22.7,45.9,27.9,43.6,84.0,1.2
15.9,22.8,48.0,31.4,41.8,80.9,1.2
16.6,23.9,45.9,30.5,40.3,91.7,1.2
17.4,23.5,45.7,30.4,43.7,87.9,1.2
16.1,23.7,48.3,28.7,42.7,87.0,1.2
16.6,22.1,48.2,28.2,40.3,83.8,1.2
15.0,22.9,42.9,30.2,42.1,79.9,1.2
18.6,22.4,46.0,31.1,41.7,94.0,1.2
14.6,22.0,47.0,31.1,45.4,79.3,1.2
14.0,23.5,44.9,30.3,44.1,80.6,1.2
16.2,22.1,45.9,26.5,42.3,86.6,1.2
16.9,22.9,46.4,29.0,39.3,82.1,1.2
16.5,24.0,43.9,28.1,41.6,77.7,1.2
15.9,21.9,43.2,28.7,42.7,88.0,1.2
16.3,22.9,46.1,29.7,46.1,85.1,1.2
16.4,21.6,48.1,28.3,43.6,84.9,1.2
15.8,21.8,45.0,30.6,40.9,87.2,1.2
15.1,20.5,46.0,26.9,42.9,78.7,1.2
15.2,23.1,45.3,29.3,41.3,81.1,1.2
17.6,23.2,45.5,30.0,40.2,84.8,1.2
16.0,22.4,46.4,30.0,41.5,84.3,1.2
14.7,21.4,46.4,28.1,40.0,80.1,1.2
14.4,23.2,47.3,28.2,43.0,84.3,1.2
16.4,21.3,43.4,28.1,42.8,81.7,1.2
15.2,22.2,46.5,29.0,41.7,83.0,1.2
17.5,21.4,46.9,29.5,42.4,82.2,1.2
15.8,23.6,44.0,31.3,43.0,83.6,1.2
16.7,21.6,45.7,28.1,41.2,87.9,1.2
15.0,24.2,47.4,28.6,40.6,87.2,1.2
14.9,22.1,46.9,31.2,41.1,83.8,1.2
16.2,21.2,47.0,31.5,39.8,83.1,1.2
15.5,22.6,45.8,28.5,41.6,82.9,1.2
18.0,22.7,47.6,29.0,40.5,85.2,1.2
14.9,21.9,47.9,27.5,42.3,80.9,1.2
16.1,22.9,46.4,31.0,42.5,79.6,1.2
16.9,20.4,45.9,26.8,40.2,84.0,1.2
16.9,21.8,43.3,29.8,43.7,86.3,1.2
17.0,23.0,46.7,29.0,44.0,88.4,1.2
15.4,24.2,45.6,29.1,42.2,90.3,1.3
15.6,21.2,46.5,32.0,39.7,87.0,1.3
16.2,22.5,47.0,31.5,40.8,80.8,1.3
16.6,22.2,43.7,31.4,42.4,90.9,1.3
16.8,21.4,46.4,29.6,41.8,88.2,1.3
17.1,22.7,46.7,31.0,45.5,88.0,1.3
15.6,23.0,48.0,31.9,39.8,84.2,1.3
17.3,23.1,46.8,29.1,37.7,84.1,1.3
15.5,24.8,47.0,29.6,39.9,86.8,1.3
16.1,23.7,46.4,29.1,41.3,85.0,1.3
17.1,22.0,46.7,28.9,46.3,85.4,1.3
17.6,22.2,44.5,30.4,38.7,91.3,1.3
16.5,23.1,48.3,30.5,42.7,86.4,1.3
18.0,25.7,44.4,30.8,40.4,89.4,1.3
15.8,24.5,45.0,30.3,38.3,86.9,1.3
17.1,20.5,46.2,27.4,41.5,79.4,1.3
16.7,21.7,46.1,26.9,41.8,90.2,1.3
16.9,19.9,45.2,30.0,43.4,81.2,1.3
14.9,21.6,46.4,29.3,43.7,85.4,1.3
17.0,22.1,46.0,29.9,41.3,83.8,1.3
17.1,21.9,45.7,33.2,39.6,79.7,1.3
17.1,23.5,44.0,28.8,42.0,90.1,1.3
17.3,23.1,45.8,28.3,36.8,82.9,1.3
17.1,21.0,46.6,29.9,41.1,85.9,1.3
19.2,22.5,46.7,31.4,41.6,87.4,1.3
16.5,21.6,46.4,28.9,42.8,86.7,1.3
16.1,23.3,46.5,32.2,43.4,88.2,1.3
15.7,22.8,46.6,28.6,43.1,82.3,1.3
15.6,21.1,45.9,28.2,44.6,87.0,1.3
14.3,22.2,45.7,29.3,42.7,84.2,1.3
14.4,23.9,45.8,30.9,41.1,90.3,1.3
15.9,21.5,48.3,31.3,42.6,88.7,1.3
15.3,23.2,45.2,29.8,42.9,89.0,1.3
15.6,23.9,47.5,29.8,42.6,80.8,1.3
17.7,22.4,46.5,29.9,43.0,84.4,1.3
14.8,24.2,45.6,31.7,40.9,90.0,1.3
15.3,22.0,45.9,29.6,38.7,83.9,1.3
15.2,21.7,48.8,31.4,42.9,86.2,1.3
16.3,23.7,48.0,28.9,45.8,84.6,1.3
16.7,23.5,46.1,29.8,41.7,85.1,1.3
16.6,21.1,42.2,30.9,45.8,86.4,1.3
16.6,22.5,47.8,30.6,42.3,83.7,1.3
16.1,23.1,45.4,30.1,41.0,88.3,1.3
16.8,22.3,43.4,29.0,42.6,85.3,1.3
16.1,23.6,45.1,29.3,44.1,84.4,1.3
15.4,22.4,46.9,27.7,42.2,83.8,1.3
16.0,22.9,45.4,30.0,43.1,90.7,1.3
16.7,24.9,45.1,28.7,41.3,83.9,1.3
16.6,23.9,42.5,29.4,42.4,86.5,1.3
14.8,19.6,47.0,26.4,41.5,88.6,1.3
15.4,22.7,45.2,30.8,40.8,83.4,1.4
15.2,22.3,45.3,31.1,37.3,83.8,1.4
16.9,24.4,45.4,31.6,39.2,86.5,1.4
17.2,22.6,47.9,30.9,39.4,79.2,1.4
16.8,22.9,46.1,28.3,44.0,92.0,1.4
16.8,21.0,44.4,28.0,45.7,84.5,1.4
16.3,20.8,47.5,32.6,42.3,90.7,1.4
14.8,22.8,49.4,29.5,44.4,86.4,1.4
16.5,22.8,44.5,31.1,42.8,89.6,1.4
17.8,22.5,44.8,30.8,45.0,83.8,1.4
16.0,22.5,46.9,31.9,42.4,88.6,1.4
17.3,22.5,45.3,30.8,39.0,83.0,1.4
16.2,22.0,44.7,28.4,40.8,80.3,1.4
14.8,23.8,47.6,30.3,43.7,92.6,1.4
16.5,24.1,47.0,29.2,43.4,85.0,1.4
16.1,23.8,43.8,31.2,42.1,81.9,1.4
15.5,22.2,44.1,28.8,43.2,83.4,1.4
14.7,22.0,47.2,28.9,44.4,82.4,1.4
14.6,23.1,46.7,30.1,42.0,86.5,1.4
17.5,22.7,45.6,29.8,45.0,83.0,1.4
15.3,21.8,47.7,30.4,42.7,90.0,1.4
15.9,23.3,44.4,29.5,44.8,91.4,1.4
15.7,20.9,46.9,31.5,43.4,87.8,1.4
16.5,24.5,47.7,27.3,42.3,89.2,1.4
14.8,21.7,45.3,29.4,43.0,86.2,1.4
14.7,23.0,47.2,27.3,43.1,85.6,1.4
17.0,22.9,44.9,30.7,42.3,88.1,1.4
18.4,22.1,46.2,30.8,45.4,84.6,1.4
15.8,21.5,46.3,29.4,43.4,81.1,1.4
18.4,22.9,45.0,31.9,44.3,79.2,1.4
16.5,22.0,45.5,30.6,43.3,84.3,1.4
16.9,23.1,47.4,29.4,40.1,86.8,1.4
15.0,21.7,44.7,30.9,41.9,88.9,1.4
17.4,21.7,46.7,32.0,44.8,87.8,1.4
16.0,23.1,47.4,30.2,44.7,86.0,1.4
13.8,22.8,47.0,29.4,42.8,83.2,1.4
14.1,24.0,44.5,30.8,39.1,85.3,1.4
15.2,22.9,44.9,32.3,44.9,83.6,1.4
14.1,22.8,45.3,30.6,42.0,81.0,1.4
16.1,22.3,46.9,29.6,44.4,89.9,1.4
17.0,20.7,45.0,28.4,43.4,88.0,1.4
17.8,22.1,45.4,29.1,43.2,87.8,1.4
16.6,21.4,44.1,32.1,43.6,90.1,1.4
18.2,23.4,47.9,28.1,44.3,89.9,1.4
16.8,22.7,46.7,29.5,40.7,88.9,1.4
16.9,23.4,46.9,30.9,45.5,90.2,1.4
17.4,21.4,46.6,29.7,44.5,82.2,1.4
14.7,23.0,45.3,29.1,44.1,86.2,1.4
15.4,22.0,45.4,31.7,43.0,87.5,1.4
17.4,20.4,44.3,31.7,46.3,83.9,1.4
16.8,22.4,46.7,29.4,40.7,82.7,1.5
16.3,21.4,47.7,31.9,44.0,89.4,1.5
15.4,22.2,46.6,29.9,41.6,86.9,1.5
17.4,23.1,49.2,31.3,41.7,85.9,1.5
17.1,22.5,45.3,32.6,45.7,83.2,1.5
15.5,23.3,45.2,31.1,45.3,88.9,1.5
17.1,21.6,49.0,31.1,42.8,86.7,1.5
16.9,22.5,46.0,28.1,42.3,88.5,1.5
17.2,23.5,44.7,31.4,43.0,91.6,1.5
16.7,22.1,47.1,30.7,42.8,84.4,1.5
16.6,23.4,45.3,29.2,46.9,84.7,1.5
16.4,22.0,45.7,32.1,41.0,91.8,1.5
16.1,21.4,48.9,32.0,42.3,85.2,1.5
15.4,22.6,47.3,30.0,45.1,88.0,1.5
17.3,22.1,44.5,30.5,45.8,90.5,1.5
14.2,22.6,46.4,29.9,43.8,89.0,1.5
17.6,22.4,47.5,30.4,46.0,88.7,1.5
16.1,22.2,46.9,33.3,46.1,84.1,1.5
14.3,24.0,45.4,31.8,41.8,87.6,1.5
13.5,22.6,46.0,30.9,42.8,90.8,1.5
17.1,22.9,48.0,30.1,46.9,84.7,1.5
16.8,21.0,45.3,29.8,42.0,90.7,1.5
13.4,23.1,44.3,31.4,45.1,85.4,1.5
16.5,22.4,48.2,27.8,37.8,89.8,1.5
16.3,21.0,45.8,31.8,46.7,83.2,1.5
17.0,23.3,49.4,30.4,44.7,87.5,1.5
15.5,24.1,45.7,30.3,41.6,88.1,1.5
16.2,22.0,48.6,30.0,42.5,89.6,1.5
14.7,23.1,44.5,29.5,43.5,89.4,1.5
17.4,23.5,46.5,32.1,41.5,89.5,1.5
15.6,21.6,47.1,30.5,42.3,91.8,1.5
15.9,22.5,46.5,29.6,41.5,83.1,1.5
16.1,23.1,48.0,32.2,44.5,86.8,1.5
14.9,23.3,47.0,31.0,42.5,84.4,1.5
15.9,23.5,46.1,31.7,43.2,91.6,1.5
16.7,22.7,46.1,29.9,44.6,88.6,1.5
16.4,23.6,46.9,34.4,45.8,89.6,1.5
13.2,22.8,45.4,30.9,42.8,87.2,1.5
16.3,21.5,46.8,33.2,43.5,83.8,1.5
16.4,21.2,47.2,31.3,45.4,85.0,1.5
16.8,24.2,45.7,31.6,44.4,87.4,1.5
16.4,23.7,45.7,31.0,41.3,84.8,1.5
16.6,21.1,48.0,30.5,42.6,85.8,1.5
17.0,23.3,46.7,29.8,44.9,83.6,1.5
16.1,23.6,47.3,29.3,43.9,83.9,1.5
16.4,20.3,47.3,30.8,41.5,89.3,1.5
13.2,22.9,46.6,30.8,45.9,84.1,1.5
16.0,23.3,45.2,28.3,41.5,95.7,1.5
15.9,22.5,46.5,27.7,43.1,86.6,1.5
14.4,20.5,47.2,30.6,40.9,88.9,1.5
15.6,22.3,43.7,32.0,43.8,84.3,1.6
15.9,23.3,43.3,30.1,45.2,92.7,1.6
16.1,23.9,44.8,32.2,42.3,89.4,1.6
16.2,21.7,46.1,32.2,43.4,88.0,1.6
17.1,23.5,44.6,31.1,44.4,88.7,1.6
17.0,20.7,46.3,32.5,41.6,90.2,1.6
15.7,21.8,46.2,30.5,42.4,92.5,1.6
16.9,20.4,45.3,32.3,43.7,92.0,1.6
18.9,23.1,46.4,30.4,44.9,80.6,1.6
17.3,22.7,45.9,33.0,48.6,91.1,1.6
15.0,22.5,43.6,30.5,42.3,86.4,1.6
15.8,25.7,48.2,31.5,43.9,88.9,1.6
15.3,21.3,46.8,29.4,44.4,86.6,1.6
17.7,21.7,46.8,30.2,45.9,91.4,1.6
17.9,22.8,47.1,32.2,43.0,86.1,1.6
16.2,21.5,46.1,30.0,41.5,86.8,1.6
16.9,22.2,44.6,28.7,41.7,90.5,1.6
17.3,22.1,44.4,29.7,43.2,90.4,1.6
17.7,23.4,46.4,31.6,42.3,86.9,1.6
16.0,23.9,48.1,29.3,44.4,91.7,1.6
17.8,23.0,45.4,33.7,44.5,90.2,1.6
16.2,23.7,42.8,30.6,44.4,84.6,1.6
16.9,22.6,48.0,33.5,46.2,87.1,1.6
16.1,22.7,45.0,32.7,41.1,90.2,1.6
15.0,22.2,46.8,33.9,46.0,86.2,1.6
17.3,22.9,44.0,31.6,46.4,90.8,1.6
16.8,22.3,44.6,30.9,46.1,88.3,1.6
16.1,21.7,47.8,31.0,44.6,86.5,1.6
16.3,21.6,43.0,30.8,46.8,93.1,1.6
16.5,23.0,42.8,29.0,41.2,92.6,1.6
16.2,23.2,48.6,29.4,45.7,89.3,1.6
18.7,20.5,47.2,30.9,44.1,89.0,1.6
16.3,23.3,50.8,31.1,45.1,86.5,1.6
15.9,20.8,45.6,32.4,42.2,87.2,1.6
16.8,21.9,45.9,32.3,41.4,91.6,1.6
16.1,22.7,45.4,33.6,45.4,88.5,1.6
16.7,22.5,45.0,28.1,48.0,88.9,1.6
15.1,21.6,45.5,31.0,40.7,95.3,1.6
17.6,23.3,46.9,33.2,44.0,84.8,1.6
15.7,24.2,46.7,32.3,48.7,95.0,1.6
15.5,23.4,47.7,32.0,40.5,88.0,1.6
16.2,23.3,46.7,28.1,43.9,91.8,1.6
15.2,23.3,46.2,31.7,43.4,84.8,1.6
17.4,22.3,44.1,31.0,43.1,87.5,1.6
17.9,22.6,46.6,32.3,43.5,88.6,1.6
14.8,22.8,46.3,29.5,43.5,90.3,1.6
17.8,21.6,46.3,31.3,46.0,89.5,1.6
18.7,22.6,46.9,31.4,41.8,91.3,1.6
15.6,21.2,48.7,31.4,42.5,83.0,1.6
15.2,21.8,46.2,31.1,43.2,91.1,1.6
16.4,23.0,46.4,33.2,45.4,90.3,1.7
16.4,22.1,49.9,30.1,44.5,86.3,1.7
16.9,24.3,45.2,31.6,41.6,89.1,1.7
15.9,22.3,46.0,29.3,46.1,85.4,1.7
16.3,22.7,46.3,32.7,43.1,88.7,1.7
16.8,21.0,46.2,32.3,46.1,90.7,1.7
15.7,22.0,46.9,32.4,45.9,87.4,1.7
16.5,22.5,45.8,33.2,43.6,92.2,1.7
15.5,23.1,45.3,32.8,45.1,96.4,1.7
19.3,22.4,44.4,30.3,44.4,89.9,1.7
16.4,23.4,47.6,32.1,40.3,89.2,1.7
15.2,22.9,44.2,30.9,44.1,87.2,1.7
18.1,21.3,43.3,31.0,42.4,91.2,1.7
15.9,22.4,46.7,31.5,44.5,90.2,1.7
16.6,21.7,48.7,33.2,40.5,88.4,1.7
15.7,20.7,45.5,30.7,44.3,91.2,1.7
17.3,22.3,45.4,33.2,43.7,87.0,1.7
17.2,23.8,45.4,31.9,46.0,96.7,1.7
15.3,22.4,46.7,30.1,44.5,89.8,1.7
15.8,22.1,44.3,32.2,45.4,90.4,1.7
15.4,25.5,44.5,34.3,44.4,88.8,1.7
17.3,24.4,46.9,31.0,45.3,91.3,1.7
18.4,21.2,47.9,30.1,43.9,90.4,1.7
15.5,23.3,47.1,31.9,46.1,89.2,1.7
14.8,23.4,46.8,33.1,44.4,87.7,1.7
14.9,21.8,44.4,30.2,43.3,88.1,1.7
18.4,23.8,45.0,31.0,42.9,84.6,1.7
15.5,23.7,45.3,32.1,45.3,93.1,1.7
18.9,21.4,47.2,29.6,45.9,93.4,1.7
15.1,21.8,46.2,31.0,46.0,85.1,1.7
16.9,24.2,46.8,30.7,45.7,92.6,1.7
17.2,24.2,46.8,29.8,47.1,87.7,1.7
16.2,22.7,47.3,29.4,42.6,93.5,1.7
16.0,23.5,47.0,32.7,45.0,88.9,1.7
15.5,21.8,44.7,31.3,46.6,89.1,1.7
16.5,21.9,45.7,31.2,46.9,87.1,1.7
16.9,22.8,44.3,29.4,44.0,88.9,1.7
16.3,22.1,46.5,33.3,44.8,90.1,1.7
16.1,22.8,47.9,32.4,40.9,87.9,1.7
15.5,22.2,47.3,30.5,43.4,88.0,1.7
15.8,22.3,48.6,30.1,45.3,84.4,1.7
16.4,23.2,46.7,31.2,40.0,83.5,1.7
17.2,21.0,44.8,31.9,46.7,87.9,1.7
16.5,22.7,44.7,28.9,43.9,89.4,1.7
16.0,22.1,48.5,31.4,41.4,93.6,1.7
16.3,23.0,47.2,29.8,42.2,86.2,1.7
15.8,22.0,45.2,35.5,39.9,91.3,1.7
16.4,23.9,43.9,30.3,47.8,92.1,1.7
16.5,22.7,46.4,29.7,40.1,87.4,1.7
17.1,20.7,46.6,29.5,46.0,90.2,1.7
16.4,21.7,46.1,30.3,44.1,92.2,1.8
17.5,22.1,45.3,29.8,47.2,90.0,1.8
17.0,22.2,43.2,30.9,46.7,88.5,1.8
15.1,23.5,46.0,31.2,42.5,90.7,1.8
16.3,21.8,43.5,31.8,46.2,93.5,1.8
16.0,23.3,45.2,31.0,43.7,90.9,1.8
16.3,22.0,45.2,32.0,47.3,91.6,1.8
16.1,21.2,48.8,30.8,43.8,92.8,1.8
16.4,24.3,44.5,32.5,42.1,89.3,1.8
16.1,21.6,45.8,33.5,47.7,88.7,1.8
15.6,20.6,46.1,32.0,46.2,93.9,1.8
16.5,24.1,46.7,32.5,45.4,89.6,1.8
18.0,22.4,46.1,31.5,43.9,90.1,1.8
16.8,22.7,46.2,31.3,47.1,96.5,1.8
16.8,21.9,45.6,28.5,46.4,91.0,1.8
18.4,23.0,44.2,31.5,46.9,89.4,1.8
17.9,23.3,46.9,31.9,43.6,84.0,1.8
17.2,21.5,42.3,32.3,42.1,89.1,1.8
17.1,23.2,46.5,31.7,44.6,91.0,1.8
17.0,21.4,43.9,33.9,41.9,92.1,1.8
15.7,21.7,45.2,30.9,43.6,92.8,1.8
16.2,23.9,45.0,33.7,44.9,90.0,1.8
18.8,21.5,45.6,34.0,45.3,90.1,1.8
18.0,23.8,45.8,30.2,46.8,95.6,1.8
16.8,22.1,48.1,31.5,41.6,96.7,1.8
17.0,22.5,44.0,30.6,45.7,90.1,1.8
17.1,21.5,46.1,32.2,47.0,90.5,1.8
17.0,23.7,47.2,31.1,46.4,90.7,1.8
15.8,22.2,45.6,32.5,42.9,90.6,1.8
16.5,21.2,46.2,30.6,41.0,88.6,1.8
16.7,23.8,45.0,34.9,47.0,95.5,1.8
17.9,22.0,45.7,31.1,39.4,94.1,1.8
14.6,23.0,45.7,30.9,45.7,94.0,1.8
16.2,22.4,47.6,32.2,45.8,90.0,1.8
16.0,23.5,46.2,32.7,45.3,86.8,1.8
16.4,22.1,42.3,33.1,48.4,93.7,1.8
16.2,22.3,43.5,31.8,44.3,91.8,1.8
16.2,22.9,47.6,30.7,45.9,95.7,1.8
17.2,22.7,46.6,30.9,45.6,88.4,1.8
15.3,22.3,46.5,30.9,46.3,96.8,1.8
17.7,23.4,43.5,33.2,43.8,82.1,1.8
17.3,22.4,46.3,31.2,48.0,94.9,1.8
15.5,23.6,46.1,31.9,47.2,88.0,1.8
15.4,22.6,43.9,34.1,43.6,90.4,1.8
17.1,20.9,48.1,31.3,42.0,92.7,1.8
19.2,21.3,46.2,35.8,45.0,88.7,1.8
15.8,21.6,45.6,32.3,47.6,91.7,1.8
14.8,23.8,45.4,30.6,45.0,88.9,1.8
14.6,22.9,44.6,30.2,44.6,90.8,1.8
15.6,22.5,47.0,34.6,46.0,89.4,1.8
15.7,22.2,43.0,32.4,45.0,91.8,1.9
18.2,22.7,44.6,33.9,46.0,89.3,1.9
15.9,23.0,45.7,33.8,46.2,92.8,1.9
18.1,21.8,45.2,33.3,41.6,90.3,1.9
16.1,22.7,46.0,31.8,43.0,85.0,1.9
16.1,22.0,45.7,32.3,45.5,94.7,1.9
16.4,22.9,44.6,33.4,48.2,89.8,1.9
16.7,22.2,46.4,32.5,42.5,86.3,1.9
15.1,24.0,44.1,32.5,43.4,91.5,1.9
16.0,22.1,47.4,32.2,43.3,93.4,1.9
14.9,22.7,45.6,32.5,46.4,88.7,1.9
14.7,24.5,45.9,33.4,45.2,92.3,1.9
15.0,23.0,45.6,33.5,43.7,92.6,1.9
15.7,23.1,49.3,32.5,46.8,87.9,1.9
18.3,20.8,46.3,32.3,46.6,91.3,1.9
16.5,22.3,46.0,30.0,40.4,92.5,1.9
15.7,22.9,45.8,37.1,44.9,93.2,1.9
16.5,20.3,45.6,31.9,49.0,95.2,1.9
17.8,22.8,44.9,36.5,44.9,95.0,1.9
16.5,21.3,45.7,28.8,46.8,89.2,1.9
17.5,22.0,43.6,32.5,45.9,88.3,1.9
17.7,22.4,45.9,32.3,45.5,92.1,1.9
15.9,20.7,48.3,30.8,47.0,92.2,1.9
15.1,21.1,42.9,30.6,44.2,92.7,1.9
15.3,21.7,45.3,33.6,44.3,100.4,1.9
15.4,21.2,43.4,32.8,44.4,93.5,1.9
15.7,23.8,48.0,29.1,44.4,90.7,1.9
15.7,21.9,45.1,32.0,41.8,89.9,1.9
16.5,23.0,44.8,31.5,44.6,89.7,1.9
16.7,21.8,46.6,34.4,43.4,86.8,1.9
14.8,21.1,48.6,28.9,48.2,93.7,1.9
16.0,22.4,47.2,31.4,43.7,84.8,1.9
17.3,21.0,47.8,30.4,42.3,93.0,1.9
13.8,22.4,47.7,32.5,47.6,91.4,1.9
13.4,24.3,44.8,31.1,44.6,91.1,1.9
16.7,22.4,44.8,33.2,45.2,95.4,1.9
15.2,23.8,46.4,33.7,41.6,93.6,1.9
15.5,23.3,46.4,33.4,45.6,86.4,1.9
15.5,22.7,42.7,34.3,46.2,88.7,1.9
14.8,23.8,49.5,35.0,46.3,95.3,1.9
14.8,23.1,47.4,30.5,46.9,91.6,1.9
14.8,22.7,46.2,31.6,47.7,86.6,1.9
17.2,22.5,47.0,31.4,47.0,93.2,1.9
18.4,22.6,44.1,31.8,49.5,89.2,1.9
